source_mat_id,chlorophyll,chlorophyll_method,sea_surf_temp,sea_surf_temp_method,sea_subsurf_temp,sea_subsurf_temp_method,sea_surf_salinity,sea_surf_salinity_method,sea_subsurf_salinity,sea_subsurf_salinity_method,alkalinity,alkalinity_method,ammonium,ammonium_method,bac_prod,bac_prod_method,biomass,biomass_method,chem_administration,conduc,conduc_method,density,density_method,diss_carb_dioxide,diss_carb_dioxide_method,diss_inorg_carb,diss_inorg_carb_method,diss_org_carb,diss_org_carb_method,diss_org_nitro,diss_org_nitro_method,down_par,down_par_method,diss_oxygen,diss_oxygen_method,n_alkanes,n_alkanes_method,nitrate,nitrate_method,nitrite,nitrite_method,organism_count,organism_count_method,ph,ph_method,part_org_carb,part_org_carb_method,part_org_nitro,part_org_nitro_method,petroleum_hydrocarb,petroleum_hydrocarb_method,phaeopigments,phaeopigments_method,phosphate,phosphate_method,pigments,pigments_method,pressure,pressure_method,primary_prod,primary_prod_method,silicate,silicate_method,sulfate,sulfate_method,sulfide,sulfide_method,turbidity,turbidity_method,water_current,water_current_method
EMOBON_RFormosa_Wa_211220_0.2um_3,3.98132,Fluorometer 10-AU,15,Thermo scientific  orion star A221,15,Thermo scientific  orion star A221,36.3,YSI ProSolo Digital,36.3,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,256,YSI ProSolo Digital,,,,,,,,,8.258,Thermo scientific  orion star A221,,,,,,,,,,,,,1.005181347,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_211220_0.2um_4,3.98132,Fluorometer 10-AU,15,Thermo scientific  orion star A221,15,Thermo scientific  orion star A221,36.3,YSI ProSolo Digital,36.3,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,256,YSI ProSolo Digital,,,,,,,,,8.258,Thermo scientific  orion star A221,,,,,,,,,,,,,1.005181347,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_211220_3um_blank,3.98132,Fluorometer 10-AU,15,Thermo scientific  orion star A221,15,Thermo scientific  orion star A221,36.3,YSI ProSolo Digital,36.3,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,256,YSI ProSolo Digital,,,,,,,,,8.258,Thermo scientific  orion star A221,,,,,,,,,,,,,1.005181347,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_211220_0.2um_blank,3.98132,Fluorometer 10-AU,15,Thermo scientific  orion star A221,15,Thermo scientific  orion star A221,36.3,YSI ProSolo Digital,36.3,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,256,YSI ProSolo Digital,,,,,,,,,8.258,Thermo scientific  orion star A221,,,,,,,,,,,,,1.005181347,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_220224_3um_1,2.53,Fluorometer 10-AU,17.3,Thermo scientific  orion star A221,17.3,Thermo scientific  orion star A221,37.47,YSI ProSolo Digital,37.47,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,278,YSI ProSolo Digital,,,,,,,,,7.937,Thermo scientific  orion star A221,,,,,,,,,,,,,1.00399704,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_220224_3um_2,2.53,Fluorometer 10-AU,17.3,Thermo scientific  orion star A221,17.3,Thermo scientific  orion star A221,37.47,YSI ProSolo Digital,37.47,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,278,YSI ProSolo Digital,,,,,,,,,7.937,Thermo scientific  orion star A221,,,,,,,,,,,,,1.00399704,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_220224_3um_3,2.53,Fluorometer 10-AU,17.3,Thermo scientific  orion star A221,17.3,Thermo scientific  orion star A221,37.47,YSI ProSolo Digital,37.47,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,278,YSI ProSolo Digital,,,,,,,,,7.937,Thermo scientific  orion star A221,,,,,,,,,,,,,1.00399704,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_220224_3um_4,2.53,Fluorometer 10-AU,17.3,Thermo scientific  orion star A221,17.3,Thermo scientific  orion star A221,37.47,YSI ProSolo Digital,37.47,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,278,YSI ProSolo Digital,,,,,,,,,7.937,Thermo scientific  orion star A221,,,,,,,,,,,,,1.00399704,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_220224_0.2um_1,2.53,Fluorometer 10-AU,17.3,Thermo scientific  orion star A221,17.3,Thermo scientific  orion star A221,37.47,YSI ProSolo Digital,37.47,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,278,YSI ProSolo Digital,,,,,,,,,7.937,Thermo scientific  orion star A221,,,,,,,,,,,,,1.00399704,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_220224_0.2um_2,2.53,Fluorometer 10-AU,17.3,Thermo scientific  orion star A221,17.3,Thermo scientific  orion star A221,37.47,YSI ProSolo Digital,37.47,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,278,YSI ProSolo Digital,,,,,,,,,7.937,Thermo scientific  orion star A221,,,,,,,,,,,,,1.00399704,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_220224_0.2um_3,2.53,Fluorometer 10-AU,17.3,Thermo scientific  orion star A221,17.3,Thermo scientific  orion star A221,37.47,YSI ProSolo Digital,37.47,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,278,YSI ProSolo Digital,,,,,,,,,7.937,Thermo scientific  orion star A221,,,,,,,,,,,,,1.00399704,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_220224_0.2um_4,2.53,Fluorometer 10-AU,17.3,Thermo scientific  orion star A221,17.3,Thermo scientific  orion star A221,37.47,YSI ProSolo Digital,37.47,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,278,YSI ProSolo Digital,,,,,,,,,7.937,Thermo scientific  orion star A221,,,,,,,,,,,,,1.00399704,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_220224_3um_blank,2.53,Fluorometer 10-AU,17.3,Thermo scientific  orion star A221,17.3,Thermo scientific  orion star A221,37.47,YSI ProSolo Digital,37.47,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,278,YSI ProSolo Digital,,,,,,,,,7.937,Thermo scientific  orion star A221,,,,,,,,,,,,,1.00399704,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_220224_0.2um_blank,2.53,Fluorometer 10-AU,17.3,Thermo scientific  orion star A221,17.3,Thermo scientific  orion star A221,37.47,YSI ProSolo Digital,37.47,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,278,YSI ProSolo Digital,,,,,,,,,7.937,Thermo scientific  orion star A221,,,,,,,,,,,,,1.00399704,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_220428_3um_1,7.17216,Fluorometer 10-AU,17.8,Thermo scientific  orion star A221,17.8,Thermo scientific  orion star A221,36.75,YSI ProSolo Digital,36.75,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,234,YSI ProSolo Digital,,,,,,,,,8.178,Thermo scientific  orion star A221,,,,,,,,,,,,,1.005576117,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_220428_3um_2,7.17216,Fluorometer 10-AU,17.8,Thermo scientific  orion star A221,17.8,Thermo scientific  orion star A221,36.75,YSI ProSolo Digital,36.75,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,234,YSI ProSolo Digital,,,,,,,,,8.178,Thermo scientific  orion star A221,,,,,,,,,,,,,1.005576117,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_220428_3um_3,7.17216,Fluorometer 10-AU,17.8,Thermo scientific  orion star A221,17.8,Thermo scientific  orion star A221,36.75,YSI ProSolo Digital,36.75,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,234,YSI ProSolo Digital,,,,,,,,,8.178,Thermo scientific  orion star A221,,,,,,,,,,,,,1.005576117,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_220428_3um_4,7.17216,Fluorometer 10-AU,17.8,Thermo scientific  orion star A221,17.8,Thermo scientific  orion star A221,36.75,YSI ProSolo Digital,36.75,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,234,YSI ProSolo Digital,,,,,,,,,8.178,Thermo scientific  orion star A221,,,,,,,,,,,,,1.005576117,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_220428_0.2um_1,7.17216,Fluorometer 10-AU,17.8,Thermo scientific  orion star A221,17.8,Thermo scientific  orion star A221,36.75,YSI ProSolo Digital,36.75,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,234,YSI ProSolo Digital,,,,,,,,,8.178,Thermo scientific  orion star A221,,,,,,,,,,,,,1.005576117,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_220428_0.2um_2,7.17216,Fluorometer 10-AU,17.8,Thermo scientific  orion star A221,17.8,Thermo scientific  orion star A221,36.75,YSI ProSolo Digital,36.75,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,234,YSI ProSolo Digital,,,,,,,,,8.178,Thermo scientific  orion star A221,,,,,,,,,,,,,1.005576117,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_220428_0.2um_3,7.17216,Fluorometer 10-AU,17.8,Thermo scientific  orion star A221,17.8,Thermo scientific  orion star A221,36.75,YSI ProSolo Digital,36.75,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,234,YSI ProSolo Digital,,,,,,,,,8.178,Thermo scientific  orion star A221,,,,,,,,,,,,,1.005576117,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_220428_0.2um_4,7.17216,Fluorometer 10-AU,17.8,Thermo scientific  orion star A221,17.8,Thermo scientific  orion star A221,36.75,YSI ProSolo Digital,36.75,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,234,YSI ProSolo Digital,,,,,,,,,8.178,Thermo scientific  orion star A221,,,,,,,,,,,,,1.005576117,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_220428_3um_blank,7.17216,Fluorometer 10-AU,17.8,Thermo scientific  orion star A221,17.8,Thermo scientific  orion star A221,36.75,YSI ProSolo Digital,36.75,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,234,YSI ProSolo Digital,,,,,,,,,8.178,Thermo scientific  orion star A221,,,,,,,,,,,,,1.005576117,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_220428_0.2um_blank,7.17216,Fluorometer 10-AU,17.8,Thermo scientific  orion star A221,17.8,Thermo scientific  orion star A221,36.75,YSI ProSolo Digital,36.75,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,234,YSI ProSolo Digital,,,,,,,,,8.178,Thermo scientific  orion star A221,,,,,,,,,,,,,1.005576117,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_220629_3um_1,8.3868,Fluorometer 10-AU,21.7,Thermo scientific  orion star A221,21.7,Thermo scientific  orion star A221,38.26,YSI ProSolo Digital,38.26,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,222,YSI ProSolo Digital,,,,,,,,,6.192,Thermo scientific  orion star A221,,,,,,,,,,,,,1.002121885,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_220629_3um_2,8.3868,Fluorometer 10-AU,21.7,Thermo scientific  orion star A221,21.7,Thermo scientific  orion star A221,38.26,YSI ProSolo Digital,38.26,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,222,YSI ProSolo Digital,,,,,,,,,6.192,Thermo scientific  orion star A221,,,,,,,,,,,,,1.002121885,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_220629_3um_3,8.3868,Fluorometer 10-AU,21.7,Thermo scientific  orion star A221,21.7,Thermo scientific  orion star A221,38.26,YSI ProSolo Digital,38.26,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,222,YSI ProSolo Digital,,,,,,,,,6.192,Thermo scientific  orion star A221,,,,,,,,,,,,,1.002121885,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_220629_3um_4,8.3868,Fluorometer 10-AU,21.7,Thermo scientific  orion star A221,21.7,Thermo scientific  orion star A221,38.26,YSI ProSolo Digital,38.26,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,222,YSI ProSolo Digital,,,,,,,,,6.192,Thermo scientific  orion star A221,,,,,,,,,,,,,1.002121885,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_220629_0.2um_1,8.3868,Fluorometer 10-AU,21.7,Thermo scientific  orion star A221,21.7,Thermo scientific  orion star A221,38.26,YSI ProSolo Digital,38.26,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,222,YSI ProSolo Digital,,,,,,,,,6.192,Thermo scientific  orion star A221,,,,,,,,,,,,,1.002121885,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_220629_0.2um_2,8.3868,Fluorometer 10-AU,21.7,Thermo scientific  orion star A221,21.7,Thermo scientific  orion star A221,38.26,YSI ProSolo Digital,38.26,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,222,YSI ProSolo Digital,,,,,,,,,6.192,Thermo scientific  orion star A221,,,,,,,,,,,,,1.002121885,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_220629_0.2um_3,8.3868,Fluorometer 10-AU,21.7,Thermo scientific  orion star A221,21.7,Thermo scientific  orion star A221,38.26,YSI ProSolo Digital,38.26,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,222,YSI ProSolo Digital,,,,,,,,,6.192,Thermo scientific  orion star A221,,,,,,,,,,,,,1.002121885,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_220629_0.2um_4,8.3868,Fluorometer 10-AU,21.7,Thermo scientific  orion star A221,21.7,Thermo scientific  orion star A221,38.26,YSI ProSolo Digital,38.26,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,222,YSI ProSolo Digital,,,,,,,,,6.192,Thermo scientific  orion star A221,,,,,,,,,,,,,1.002121885,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_220629_3um_blank,8.3868,Fluorometer 10-AU,21.7,Thermo scientific  orion star A221,21.7,Thermo scientific  orion star A221,38.26,YSI ProSolo Digital,38.26,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,222,YSI ProSolo Digital,,,,,,,,,6.192,Thermo scientific  orion star A221,,,,,,,,,,,,,1.002121885,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_220629_0.2um_blank,8.3868,Fluorometer 10-AU,21.7,Thermo scientific  orion star A221,21.7,Thermo scientific  orion star A221,38.26,YSI ProSolo Digital,38.26,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,222,YSI ProSolo Digital,,,,,,,,,6.192,Thermo scientific  orion star A221,,,,,,,,,,,,,1.002121885,YSI ProSolo Digital,,,,,,,,,,,,
