"source_mat_id_orig","samp_description","tax_id","scientific_name","investigation_type","env_material","collection_date","sampling_event","sampl_person","sampl_person_orcid","tidal_stage","depth","replicate","samp_size_vol","time_fi","size_frac","size_frac_low","size_frac_up","membr_cut","samp_collect_device","samp_mat_process","samp_mat_process_dev","samp_store_date","samp_store_loc","samp_store_temp","store_person","store_person_orcid","other_person","other_person_orcid","long_store","ship_date","arr_date_hq","store_temp_hq","ship_date_seq","arr_date_seq","failure","failure_comment","ENA_accession_number_sample","source_mat_id"
"EMOBON_OSD74_Wa_281021_3µm_(1) ","EMOBON metagenome water sample from station OSD74 collected on 2021-10-28 size fraction 3um",1874687,"marine plankton metagenome","metagenome","seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042]",2021-10-28,"OSD74_Wa_211028","Eva Lopes; Si","0000-0001-9576-2398","high_tide",1,1,5.4,0.75,"3-200",3,200,"Y","Bucket","WaSOP1","We used a peristaltic pump for filtration",2021-10-28,"CIIMAR - EcoBioTec New -80ºC Freezer",-80,"Catarina Magalhães","0000-0001-9576-2398","NA","NA","N",2022-01-31,2022-02-03,-70,2022-02-22,2022-02-23,"F","NA","NA","EMOBON_OSD74_Wa_211028_3um_1"
"EMOBON_OSD74_Wa_281021_0.2µm_(1)","EMOBON metagenome water sample from station OSD74 collected on 2021-10-28 size fraction 0.2um",1874687,"marine plankton metagenome","metagenome","seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042]",2021-10-28,"OSD74_Wa_211028","Catarina Magalhães; Simão Horta ","0000-0001-9576-2398","high_tide",1,1,5.4,0.75,"0.2-3",0.2,3,"Y","Bucket","WaSOP1","We used a peristaltic pump for filtration",2021-10-28,"CIIMAR - EcoBioTec New -80ºC Freezer",-80,"Catarina Magalhães","0000-0001-9576-2398","NA","NA","N",2022-01-31,2022-02-03,-70,2022-02-22,2022-02-23,"F","NA","NA","EMOBON_OSD74_Wa_211028_0.2um_1"
"EMOBON_OSD74_Wa_281021_3µm_(2)","EMOBON metagenome water sample from station OSD74 collected on 2021-10-28 size fraction 3um",1874687,"marine plankton metagenome","metagenome","seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042]",2021-10-28,"OSD74_Wa_211028","Catarina Magalhães; Simão Horta ","0000-0001-9576-2398","high_tide",1,2,5.4,0.75,"3-200",3,200,"Y","Bucket","WaSOP1","We used a peristaltic pump for filtration",2021-10-28,"CIIMAR - EcoBioTec New -80ºC Freezer",-80,"Catarina Magalhães","0000-0001-9576-2398","NA","NA","N",2022-01-31,2022-02-03,-70,2022-02-22,2022-02-23,"F","NA","NA","EMOBON_OSD74_Wa_211028_3um_2"
"EMOBON_OSD74_Wa_281021_0.2µm_(2)","EMOBON metagenome water sample from station OSD74 collected on 2021-10-28 size fraction 0.2um",1874687,"marine plankton metagenome","metagenome","seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042]",2021-10-28,"OSD74_Wa_211028","Catarina Magalhães; Simão Horta ","0000-0001-9576-2398","high_tide",1,2,5.4,0.75,"0.2-3",0.2,3,"Y","Bucket","WaSOP1","We used a peristaltic pump for filtration",2021-10-28,"CIIMAR - EcoBioTec New -80ºC Freezer",-80,"Catarina Magalhães","0000-0001-9576-2398","NA","NA","N",2022-01-31,2022-02-03,-70,2022-02-22,2022-02-23,"F","NA","NA","EMOBON_OSD74_Wa_211028_0.2um_2"
"EMOBON_OSD74_Wa_281021_3µm_(3)","EMOBON metagenome water sample from station OSD74 collected on 2021-10-28 size fraction 3um",1874687,"marine plankton metagenome","metagenome","seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042]",2021-10-28,"OSD74_Wa_211028","Catarina Magalhães; Simão Horta ","0000-0001-9576-2398","high_tide",1,3,5.4,0.75,"3-200",3,200,"Y","Bucket","WaSOP1","We used a peristaltic pump for filtration",2021-10-28,"CIIMAR - EcoBioTec New -80ºC Freezer",-80,"Catarina Magalhães","0000-0001-9576-2398","NA","NA","Y","NA","NA","NA","NA","NA","NA","NA","NA","EMOBON_OSD74_Wa_211028_3um_3"
"EMOBON_OSD74_Wa_281021_0.2µm_(3)","EMOBON metagenome water sample from station OSD74 collected on 2021-10-28 size fraction 0.2um",1874687,"marine plankton metagenome","metagenome","seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042]",2021-10-28,"OSD74_Wa_211028","Catarina Magalhães; Simão Horta ","0000-0001-9576-2398","high_tide",1,3,5.4,0.75,"0.2-3",0.2,3,"Y","Bucket","WaSOP1","We used a peristaltic pump for filtration",2021-10-28,"CIIMAR - EcoBioTec New -80ºC Freezer",-80,"Catarina Magalhães","0000-0001-9576-2398","NA","NA","Y","NA","NA","NA","NA","NA","NA","NA","NA","EMOBON_OSD74_Wa_211028_0.2um_3"
"EMOBON_OSD74_Wa_281021_3µm_(4)","EMOBON metagenome water sample from station OSD74 collected on 2021-10-28 size fraction 3um",1874687,"marine plankton metagenome","metagenome","seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042]",2021-10-28,"OSD74_Wa_211028","Catarina Magalhães; Simão Horta ","0000-0001-9576-2398","high_tide",1,4,5.4,0.75,"3-200",3,200,"Y","Bucket","WaSOP1","We used a peristaltic pump for filtration",2021-10-28,"CIIMAR - EcoBioTec New -80ºC Freezer",-80,"Catarina Magalhães","0000-0001-9576-2398","NA","NA","Y","NA","NA","NA","NA","NA","NA","NA","NA","EMOBON_OSD74_Wa_211028_3um_4"
"EMOBON_OSD74_Wa_281021_0.2µm_(4)","EMOBON metagenome water sample from station OSD74 collected on 2021-10-28 size fraction 0.2um",1874687,"marine plankton metagenome","metagenome","seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042]",2021-10-28,"OSD74_Wa_211028","Catarina Magalhães; Simão Horta ","0000-0001-9576-2398","high_tide",1,4,5.4,0.75,"0.2-3",0.2,3,"Y","Bucket","WaSOP1","We used a peristaltic pump for filtration",2021-10-28,"CIIMAR - EcoBioTec New -80ºC Freezer",-80,"Catarina Magalhães","0000-0001-9576-2398","NA","NA","Y","NA","NA","NA","NA","NA","NA","NA","NA","EMOBON_OSD74_Wa_211028_0.2um_4"
"EMOBON_OSD74_Wa_281021_3µm_(Blank)","EMOBON metagenome water sample from station OSD74 collected on 2021-10-28 size fraction 3um",32644,"unidentified","metagenome","MilliQ water [ENVO:00003065]",2021-10-28,"OSD74_Wa_211028","Catarina Magalhães; Simão Horta ","0000-0001-9576-2398","no_tide","NA","blank",5.4,0.5,"3-200",3,200,"N","NA","WaSOP1","We used a peristaltic pump for filtration",2021-10-28,"CIIMAR - EcoBioTec New -80ºC Freezer",-80,"Catarina Magalhães","0000-0001-9576-2398","NA","NA","Y","NA","NA","NA","NA","NA","NA","NA","NA","EMOBON_OSD74_Wa_211028_3um_blank"
"EMOBON_OSD74_Wa_281021_0.2µm_(Blank)","EMOBON metagenome water sample from station OSD74 collected on 2021-10-28 size fraction 0.2um",32644,"unidentified","metagenome","MilliQ water [ENVO:00003065]",2021-10-28,"OSD74_Wa_211028","Catarina Magalhães; Simão Horta ","0000-0001-9576-2398","no_tide","NA","blank",5.4,0.5,"0.2-3",0.2,3,"N","NA","WaSOP1","We used a peristaltic pump for filtration",2021-10-28,"CIIMAR - EcoBioTec New -80ºC Freezer",-80,"Catarina Magalhães","0000-0001-9576-2398","NA","NA","Y","NA","NA","NA","NA","NA","NA","NA","NA","EMOBON_OSD74_Wa_211028_0.2um_blank"
"EMOBON_OSD74_Wa_181221_3µm_(1) ","EMOBON metagenome water sample from station OSD74 collected on 2021-12-18 size fraction 3um",1874687,"marine plankton metagenome","metagenome","seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042]",2021-12-18,"OSD74_Wa_211218","Catarina Magalhães; Simão Horta ","0000-0001-9576-2398","low_tide",1,1,5.4,0.78,"3-200",3,200,"Y","Bucket","WaSOP1","We used a peristaltic pump for filtration",2021-12-18,"CIIMAR - EcoBioTec New -80ºC Freezer",-80,"Catarina Magalhães","0000-0001-9576-2398","NA","NA","N",2022-01-31,2022-02-03,-70,2022-02-22,2022-02-23,"F","NA","NA","EMOBON_OSD74_Wa_211218_3um_1"
"EMOBON_OSD74_Wa_181221_0.2µm_(1)","EMOBON metagenome water sample from station OSD74 collected on 2021-12-18 size fraction 0.2um",1874687,"marine plankton metagenome","metagenome","seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042]",2021-12-18,"OSD74_Wa_211218","Catarina Magalhães; Simão Horta ","0000-0001-9576-2398","low_tide",1,1,5.4,0.78,"0.2-3",0.2,3,"Y","Bucket","WaSOP1","We used a peristaltic pump for filtration",2021-12-18,"CIIMAR - EcoBioTec New -80ºC Freezer",-80,"Catarina Magalhães","0000-0001-9576-2398","NA","NA","N",2022-01-31,2022-02-03,-70,2022-02-22,2022-02-23,"F","NA","NA","EMOBON_OSD74_Wa_211218_0.2um_1"
"EMOBON_OSD74_Wa_181221_3µm_(2)","EMOBON metagenome water sample from station OSD74 collected on 2021-12-18 size fraction 3um",1874687,"marine plankton metagenome","metagenome","seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042]",2021-12-18,"OSD74_Wa_211218","Catarina Magalhães; Simão Horta ","0000-0001-9576-2398","low_tide",1,2,5.4,0.78,"3-200",3,200,"Y","Bucket","WaSOP1","We used a peristaltic pump for filtration",2021-12-18,"CIIMAR - EcoBioTec New -80ºC Freezer",-80,"Catarina Magalhães","0000-0001-9576-2398","NA","NA","N",2022-01-31,2022-02-03,-70,2022-02-22,2022-02-23,"F","NA","NA","EMOBON_OSD74_Wa_211218_3um_2"
"EMOBON_OSD74_Wa_181221_0.2µm_(2)","EMOBON metagenome water sample from station OSD74 collected on 2021-12-18 size fraction 0.2um",1874687,"marine plankton metagenome","metagenome","seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042]",2021-12-18,"OSD74_Wa_211218","Catarina Magalhães; Simão Horta ","0000-0001-9576-2398","low_tide",1,2,5.4,0.78,"0.2-3",0.2,3,"Y","Bucket","WaSOP1","We used a peristaltic pump for filtration",2021-12-18,"CIIMAR - EcoBioTec New -80ºC Freezer",-80,"Catarina Magalhães","0000-0001-9576-2398","NA","NA","N",2022-01-31,2022-02-03,-70,2022-02-22,2022-02-23,"F","NA","NA","EMOBON_OSD74_Wa_211218_0.2um_2"
"EMOBON_OSD74_Wa_181221_3µm_(3)","EMOBON metagenome water sample from station OSD74 collected on 2021-12-18 size fraction 3um",1874687,"marine plankton metagenome","metagenome","seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042]",2021-12-18,"OSD74_Wa_211218","Catarina Magalhães; Simão Horta ","0000-0001-9576-2398","low_tide",1,3,5.4,0.78,"3-200",3,200,"Y","Bucket","WaSOP1","We used a peristaltic pump for filtration",2021-12-18,"CIIMAR - EcoBioTec New -80ºC Freezer",-80,"Catarina Magalhães","0000-0001-9576-2398","NA","NA","Y","NA","NA","NA","NA","NA","NA","NA","NA","EMOBON_OSD74_Wa_211218_3um_3"
"EMOBON_OSD74_Wa_181221_0.2µm_(3)","EMOBON metagenome water sample from station OSD74 collected on 2021-12-18 size fraction 0.2um",1874687,"marine plankton metagenome","metagenome","seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042]",2021-12-18,"OSD74_Wa_211218","Catarina Magalhães; Simão Horta ","0000-0001-9576-2398","low_tide",1,3,5.4,0.78,"0.2-3",0.2,3,"Y","Bucket","WaSOP1","We used a peristaltic pump for filtration",2021-12-18,"CIIMAR - EcoBioTec New -80ºC Freezer",-80,"Catarina Magalhães","0000-0001-9576-2398","NA","NA","Y","NA","NA","NA","NA","NA","NA","NA","NA","EMOBON_OSD74_Wa_211218_0.2um_3"
"EMOBON_OSD74_Wa_181221_3µm_(4)","EMOBON metagenome water sample from station OSD74 collected on 2021-12-18 size fraction 3um",1874687,"marine plankton metagenome","metagenome","seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042]",2021-12-18,"OSD74_Wa_211218","Catarina Magalhães; Simão Horta ","0000-0001-9576-2398","low_tide",1,4,5.4,0.78,"3-200",3,200,"Y","Bucket","WaSOP1","We used a peristaltic pump for filtration",2021-12-18,"CIIMAR - EcoBioTec New -80ºC Freezer",-80,"Catarina Magalhães","0000-0001-9576-2398","NA","NA","Y","NA","NA","NA","NA","NA","NA","NA","NA","EMOBON_OSD74_Wa_211218_3um_4"
"EMOBON_OSD74_Wa_181221_0.2µm_(4)","EMOBON metagenome water sample from station OSD74 collected on 2021-12-18 size fraction 0.2um",1874687,"marine plankton metagenome","metagenome","seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042]",2021-12-18,"OSD74_Wa_211218","Catarina Magalhães; Simão Horta ","0000-0001-9576-2398","low_tide",1,4,5.4,0.78,"0.2-3",0.2,3,"Y","Bucket","WaSOP1","We used a peristaltic pump for filtration",2021-12-18,"CIIMAR - EcoBioTec New -80ºC Freezer",-80,"Catarina Magalhães","0000-0001-9576-2398","NA","NA","Y","NA","NA","NA","NA","NA","NA","NA","NA","EMOBON_OSD74_Wa_211218_0.2um_4"
"EMOBON_OSD74_Wa_181221_3µm_(Blank)","EMOBON metagenome water sample from station OSD74 collected on 2021-12-18 size fraction 3um",32644,"unidentified","metagenome","MilliQ water [ENVO:00003065]",2021-12-18,"OSD74_Wa_211218","Catarina Magalhães; Simão Horta ","0000-0001-9576-2398","no_tide","NA","blank",5.4,0.6,"3-200",3,200,"N","NA","WaSOP1","We used a peristaltic pump for filtration",2021-12-18,"CIIMAR - EcoBioTec New -80ºC Freezer",-80,"Catarina Magalhães","0000-0001-9576-2398","NA","NA","N",2022-01-31,2022-02-03,-70,2022-02-22,2022-02-23,"Τ","blank; non-quantifiable DNA after extraction","NA","EMOBON_OSD74_Wa_211218_3um_blank"
"EMOBON_OSD74_Wa_181221_0.2µm_(Blank)","EMOBON metagenome water sample from station OSD74 collected on 2021-12-18 size fraction 0.2um",32644,"unidentified","metagenome","MilliQ water [ENVO:00003065]",2021-12-18,"OSD74_Wa_211218","Catarina Magalhães; Simão Horta ","0000-0001-9576-2398","no_tide","NA","blank",5.4,0.6,"0.2-3",0.2,3,"N","NA","WaSOP1","We used a peristaltic pump for filtration",2021-12-18,"CIIMAR - EcoBioTec New -80ºC Freezer",-80,"Catarina Magalhães","0000-0001-9576-2398","NA","NA","N",2022-01-31,2022-02-03,-70,2022-02-22,2022-02-23,"Τ","blank; non-quantifiable DNA after extraction","NA","EMOBON_OSD74_Wa_211218_0.2um_blank"
"EMOBON_OSD74_Wa_250222_3µm_(1)","EMOBON metagenome water sample from station OSD74 collected on 2022-02-25 size fraction 3um",1874687,"marine plankton metagenome","metagenome","seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042]",2022-02-25,"OSD74_Wa_220225","Eva Lopes; Alice Candeias","0000-0001-9576-2398","low_tide",1,1,5.4,0.77,"3-200",3,200,"Y","Bucket","WaSOP1","We used a peristaltic pump for filtration",2022-02-25,"CIIMAR - EcoBioTec New -80ºC Freezer",-80,"Catarina Magalhães","0000-0001-9576-2398","NA","NA","N",2022-10-31,2022-02-11,-70,2023-06-01,2023-06-01,"NA","NA","NA","EMOBON_OSD74_Wa_220225_3um_1"
"EMOBON_OSD74_Wa_250222_0.2µm_(1)","EMOBON metagenome water sample from station OSD74 collected on 2022-02-25 size fraction 0.2um",1874687,"marine plankton metagenome","metagenome","seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042]",2022-02-25,"OSD74_Wa_220225","Eva Lopes; Alice Candeias","0000-0001-9576-2398","low_tide",1,1,5.4,0.77,"0.2-3",0.2,3,"Y","Bucket","WaSOP1","We used a peristaltic pump for filtration",2022-02-25,"CIIMAR - EcoBioTec New -80ºC Freezer",-80,"Catarina Magalhães","0000-0001-9576-2398","NA","NA","N",2022-10-31,2022-02-11,-70,2023-06-01,2023-06-01,"NA","NA","NA","EMOBON_OSD74_Wa_220225_0.2um_1"
"EMOBON_OSD74_Wa_250222_3µm_(2)","EMOBON metagenome water sample from station OSD74 collected on 2022-02-25 size fraction 3um",1874687,"marine plankton metagenome","metagenome","seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042]",2022-02-25,"OSD74_Wa_220225","Eva Lopes; Alice Candeias","0000-0001-9576-2398","low_tide",1,2,5.4,0.77,"3-200",3,200,"Y","Bucket","WaSOP1","We used a peristaltic pump for filtration",2022-02-25,"CIIMAR - EcoBioTec New -80ºC Freezer",-80,"Catarina Magalhães","0000-0001-9576-2398","NA","NA","N",2022-10-31,2022-02-11,-70,2023-06-01,2023-06-01,"NA","NA","NA","EMOBON_OSD74_Wa_220225_3um_2"
"EMOBON_OSD74_Wa_250222_0.2µm_(2)","EMOBON metagenome water sample from station OSD74 collected on 2022-02-25 size fraction 0.2um",1874687,"marine plankton metagenome","metagenome","seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042]",2022-02-25,"OSD74_Wa_220225","Eva Lopes; Alice Candeias","0000-0001-9576-2398","low_tide",1,2,5.4,0.77,"0.2-3",0.2,3,"Y","Bucket","WaSOP1","We used a peristaltic pump for filtration",2022-02-25,"CIIMAR - EcoBioTec New -80ºC Freezer",-80,"Catarina Magalhães","0000-0001-9576-2398","NA","NA","N",2022-10-31,2022-02-11,-70,2023-06-01,2023-06-01,"NA","NA","NA","EMOBON_OSD74_Wa_220225_0.2um_2"
"EMOBON_OSD74_Wa_250222_3µm_(3)","EMOBON metagenome water sample from station OSD74 collected on 2022-02-25 size fraction 3um",1874687,"marine plankton metagenome","metagenome","seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042]",2022-02-25,"OSD74_Wa_220225","Eva Lopes; Alice Candeias","0000-0001-9576-2398","low_tide",1,3,5.4,0.78,"3-200",3,200,"Y","Bucket","WaSOP1","We used a peristaltic pump for filtration",2022-02-25,"CIIMAR - EcoBioTec New -80ºC Freezer",-80,"Catarina Magalhães","0000-0001-9576-2398","NA","NA","Y","NA","NA","NA","NA","NA","NA","NA","NA","EMOBON_OSD74_Wa_220225_3um_3"
"EMOBON_OSD74_Wa_250222_0.2µm_(3)","EMOBON metagenome water sample from station OSD74 collected on 2022-02-25 size fraction 0.2um",1874687,"marine plankton metagenome","metagenome","seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042]",2022-02-25,"OSD74_Wa_220225","Eva Lopes; Alice Candeias","0000-0001-9576-2398","low_tide",1,3,5.4,0.78,"0.2-3",0.2,3,"Y","Bucket","WaSOP1","We used a peristaltic pump for filtration",2022-02-25,"CIIMAR - EcoBioTec New -80ºC Freezer",-80,"Catarina Magalhães","0000-0001-9576-2398","NA","NA","Y","NA","NA","NA","NA","NA","NA","NA","NA","EMOBON_OSD74_Wa_220225_0.2um_3"
"EMOBON_OSD74_Wa_250222_3µm_(4)","EMOBON metagenome water sample from station OSD74 collected on 2022-02-25 size fraction 3um",1874687,"marine plankton metagenome","metagenome","seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042]",2022-02-25,"OSD74_Wa_220225","Eva Lopes; Alice Candeias","0000-0001-9576-2398","low_tide",1,4,5.4,0.78,"3-200",3,200,"Y","Bucket","WaSOP1","We used a peristaltic pump for filtration",2022-02-25,"CIIMAR - EcoBioTec New -80ºC Freezer",-80,"Catarina Magalhães","0000-0001-9576-2398","NA","NA","Y","NA","NA","NA","NA","NA","NA","NA","NA","EMOBON_OSD74_Wa_220225_3um_4"
