"source_mat_id_orig","samp_description","tax_id","scientific_name","investigation_type","env_material","collection_date","sampling_event","sampl_person","sampl_person_orcid","tidal_stage","comm_samp","depth","replicate","size_frac_low","size_frac_up","samp_collect_device","samp_mat_process","samp_mat_process_dev","samp_store_date","samp_store_loc","samp_store_temp","store_person","store_person_orcid","other_person","other_person_orcid","long_store","samp_size_mass","ship_date","arr_date_hq","store_temp_hq","ship_date_seq","arr_date_seq","failure","failure_comment","ENA_accession_number_sample","source_mat_id"
"EMOBON_NRMCB_So_20210621_micro_1","EMOBON metagenome sediment sample from station NRMCB collected on 2021-06-21 community collected micro",412755,"marine sediment metagenome","metagenome","sediment [ENVO:00002007]",2021-06-21,"NRMCB_So_210621","Marina Montresor","0000-0002-2475-1787","no_tide","micro",75,1,"NA","NA","sediment corer","So SOP1","used a multicorer 2 cores collected (4.5 cm diameter); the upper 5 cm mixed and subsampled in the tubes; No DNA shield",2021-06-21,"freezer #1 BEOM; upper compartment; rack #8 d III (see scheme in technical support EMI)",-80,"Raffaella Casotti","0000-0002-9876-4601","NA","NA","N",10.9,2021-10-18,2021-10-20,-70,2021-11-24,2021-11-24,"F","NA",,"EMOBON_NRMCB_So_210621_micro_1"
"EMOBON_NRMCB_So _20210621_micro_2","EMOBON metagenome sediment sample from station NRMCB collected on 2021-06-21 community collected micro",412755,"marine sediment metagenome","metagenome","sediment [ENVO:00002007]",2021-06-21,"NRMCB_So_210621","Marina Montresor","0000-0002-2475-1787","no_tide","micro",75,2,"NA","NA","sediment corer","So SOP1","used a multicorer 2 cores collected (4.5 cm diameter); the upper 5 cm mixed and subsampled in the tubes; No DNA shield",2021-06-21,"freezer #1 BEOM; upper compartment; rack #8 d III (see scheme in technical support EMI)",-80,"Raffaella Casotti","0000-0002-9876-4601","NA","NA","N",11.4,2021-10-18,2021-10-20,-70,2021-11-24,2021-11-24,"F","NA",,"EMOBON_NRMCB_So_210621_micro_2"
"EMOBON_NRMCB_So_20210621_micro_3","EMOBON metagenome sediment sample from station NRMCB collected on 2021-06-21 community collected micro",412755,"marine sediment metagenome","metagenome","sediment [ENVO:00002007]",2021-06-21,"NRMCB_So_210621","Marina Montresor","0000-0002-2475-1787","no_tide","micro",75,3,"NA","NA","sediment corer","So SOP1","used a multicorer 2 cores collected (4.5 cm diameter); the upper 5 cm mixed and subsampled in the tubes; No DNA shield",2021-06-21,"freezer #1 BEOM; upper compartment; rack #8 d III (see scheme in technical support EMI)",-80,"Raffaella Casotti","0000-0002-9876-4601","NA","NA","Y",10.5,"NA","NA","NA","NA","NA","NA","NA","NA","EMOBON_NRMCB_So_210621_micro_3"
"EMOBON_NRMCB_So_20210621_micro_4","EMOBON metagenome sediment sample from station NRMCB collected on 2021-06-21 community collected micro",412755,"marine sediment metagenome","metagenome","sediment [ENVO:00002007]",2021-06-21,"NRMCB_So_210621","Marina Montresor","0000-0002-2475-1787","no_tide","micro",75,4,"NA","NA","sediment corer","So SOP1","used a multicorer 2 cores collected (4.5 cm diameter); the upper 5 cm mixed and subsampled in the tubes; No DNA shield",2021-06-21,"freezer #1 BEOM; upper compartment; rack #8 d III (see scheme in technical support EMI)",-80,"Raffaella Casotti","0000-0002-9876-4601","NA","NA","Y",10.9,"NA","NA","NA","NA","NA","NA","NA","NA","EMOBON_NRMCB_So_210621_micro_4"
"EMOBON_NRMCB_So_20210621_micro_blank","EMOBON metagenome sediment sample from station NRMCB collected on 2021-08-31 community collected micro",32644,"unidentified","metagenome","sediment [ENVO:00002007]",2021-08-21,"NRMCB_So_210821","Marina Montresor","0000-0002-2475-1787","no_tide","micro","NA","blank","NA","NA","NA","NA","NA",2021-06-21,"freezer #1 BEOM; upper compartment; rack #8 d III (see scheme in technical support EMI)",-80,"Raffaella Casotti","0000-0002-9876-4601","NA","NA","N","NA",2021-10-18,2021-10-20,-70,2021-11-24,2021-11-24,"NA","NA",,"EMOBON_NRMCB_So_210821_micro_blank"
"EMOBON_NRMCB_So_20210831_micro_1","EMOBON metagenome sediment sample from station NRMCB collected on 2021-08-31 community collected micro",412755,"marine sediment metagenome","metagenome","sediment [ENVO:00002007]",2021-08-31,"NRMCB_So_210831","Marina Montresor","0000-0002-2475-1787","no_tide","micro",75,1,"NA","NA","sediment corer","So SOP1","used a multicorer 2 cores collected (4.5 cm diameter); the upper 5 cm mixed and subsampled in the tubes; No DNA shield",2021-08-31,"freezer #1 BEOM; upper compartment; rack #8 d III (see scheme in technical support EMI)",-80,"Raffaella Casotti","0000-0002-9876-4601","NA","NA","N",10.86,2021-10-18,2021-10-20,-70,2021-11-24,2021-11-24,"F","NA",,"EMOBON_NRMCB_So_210831_micro_1"
"EMOBON_NRMCB_So_20210831_micro_2","EMOBON metagenome sediment sample from station NRMCB collected on 2021-08-31 community collected micro",412755,"marine sediment metagenome","metagenome","sediment [ENVO:00002007]",2021-08-31,"NRMCB_So_210831","Marina Montresor","0000-0002-2475-1787","no_tide","micro",75,2,"NA","NA","sediment corer","So SOP1","used a multicorer 2 cores collected (4.5 cm diameter); the upper 5 cm mixed and subsampled in the tubes; No DNA shield",2021-08-31,"freezer #1 BEOM; upper compartment; rack #8 d III (see scheme in technical support EMI)",-80,"Raffaella Casotti","0000-0002-9876-4601","NA","NA","N",10.77,2021-10-18,2021-10-20,-70,2021-11-24,2021-11-24,"F","NA",,"EMOBON_NRMCB_So_210831_micro_2"
"EMOBON_NRMCB_So_20210831_micro_3","EMOBON metagenome sediment sample from station NRMCB collected on 2021-08-31 community collected micro",412755,"marine sediment metagenome","metagenome","sediment [ENVO:00002007]",2021-08-31,"NRMCB_So_210831","Marina Montresor","0000-0002-2475-1787","no_tide","micro",75,3,"NA","NA","sediment corer","So SOP1","used a multicorer 2 cores collected (4.5 cm diameter); the upper 5 cm mixed and subsampled in the tubes",2021-08-31,"freezer #1 BEOM; upper compartment; rack #8 d III (see scheme in technical support EMI)",-80,"Raffaella Casotti","0000-0002-9876-4601","NA","NA","Y",10.78,"NA","NA","NA","NA","NA","NA","NA","NA","EMOBON_NRMCB_So_210831_micro_3"
"EMOBON_NRMCB_So_20210831_micro_4","EMOBON metagenome sediment sample from station NRMCB collected on 2021-08-31 community collected micro",412755,"marine sediment metagenome","metagenome","sediment [ENVO:00002007]",2021-08-31,"NRMCB_So_210831","Marina Montresor","0000-0002-2475-1787","no_tide","micro",75,4,"NA","NA","sediment corer","So SOP1","used a multicorer 2 cores collected (4.5 cm diameter); the upper 5 cm mixed and subsampled in the tubes",2021-08-31,"freezer #1 BEOM; upper compartment; rack #8 d III (see scheme in technical support EMI)",-80,"Raffaella Casotti","0000-0002-9876-4601","NA","NA","Y",10.8,"NA","NA","NA","NA","NA","NA","NA","NA","EMOBON_NRMCB_So_210831_micro_4"
"EMOBON_NRMCB_So_20210831_micro_blank","EMOBON metagenome sediment sample from station NRMCB collected on 2021-08-31 community collected micro",32644,"unidentified","metagenome","sediment [ENVO:00002007]",2021-08-31,"NRMCB_So_210831","Marina Montresor","0000-0002-2475-1787","no_tide","micro","NA","blank","NA","NA","NA","NA","NA",2021-08-31,"freezer #1 BEOM; upper compartment; rack #8 d III (see scheme in technical support EMI)",-80,"Raffaella Casotti","0000-0002-9876-4601","NA","NA","N","NA",2021-10-18,2021-10-20,-70,2021-11-24,2021-11-24,"F","NA",,"EMOBON_NRMCB_So_210831_micro_blank"
"EMOBON_NRMCB_So_20211026_micro_1","EMOBON metagenome sediment sample from station NRMCB collected on 2021-10-26 community collected micro",412755,"marine sediment metagenome","metagenome","sediment [ENVO:00002007]",2021-10-26,"NRMCB_So_211026","Marina Montresor","0000-0002-2475-1787","no_tide","micro",75,1,"NA","NA","sediment corer","So SOP1","used a multicorer 2 cores collected (4.5 cm diameter); the upper 5 cm mixed and subsampled in the tubes",2021-10-26,"freezer #1 BEOM; upper compartment; rack #8 d III (see scheme in technical support EMI)",-80,"Raffaella Casotti","0000-0002-9876-4601","NA","NA","N",13.76,2022-02-09,2022-02-10,-70,2022-02-22,2022-02-23,"F","NA",,"EMOBON_NRMCB_So_211026_micro_1"
"EMOBON_NRMCB_So_20211026_micro_2","EMOBON metagenome sediment sample from station NRMCB collected on 2021-10-26 community collected micro",412755,"marine sediment metagenome","metagenome","sediment [ENVO:00002007]",2021-10-26,"NRMCB_So_211026","Marina Montresor","0000-0002-2475-1787","no_tide","micro",75,2,"NA","NA","sediment corer","So SOP1","used a multicorer 2 cores collected (4.5 cm diameter); the upper 5 cm mixed and subsampled in the tubes",2021-10-26,"freezer #1 BEOM; upper compartment; rack #8 d III (see scheme in technical support EMI)",-80,"Raffaella Casotti","0000-0002-9876-4601","NA","NA","N",13.39,2022-02-09,2022-02-10,-70,2022-02-22,2022-02-23,"F","NA",,"EMOBON_NRMCB_So_211026_micro_2"
